id,postal_code,region,province,type_of_property,price,number_of_bedrooms,surface,kitchen_type,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building,priceperm2
10150436,8551,Flanders,West Flanders,HOUSE,260000.0,3.0,283.0,1.0,0.0,0,,,1.0,178.0,303.0,3.0,0.0,2.0,918.7279151943463
10078007,8300,Flanders,West Flanders,APARTMENT,625000.0,2.0,71.0,,,0,,,,,,,0.0,,8802.81690140845
10110261,7134,Wallonia,Hainaut,HOUSE,100000.0,3.0,115.0,0.0,0.0,0,1.0,,1.0,100.0,156.0,2.0,0.0,1.0,869.5652173913044
10116952,2580,Flanders,Antwerp,HOUSE,349000.0,3.0,205.0,,0.0,0,,,1.0,,446.0,,0.0,1.0,1702.439024390244
10145092,2580,Flanders,Antwerp,HOUSE,265000.0,2.0,143.0,,,0,,,,,485.0,,0.0,1.0,1853.1468531468531
10016016,1060,Brussels,Brussels,APARTMENT,395000.0,2.0,80.0,1.0,1.0,0,1.0,5.0,,,,2.0,0.0,2.0,4937.5
9995883,4970,Wallonia,Liège,HOUSE,750000.0,16.0,1125.0,0.0,0.0,0,,,,,19183.0,4.0,,1.0,666.6666666666666
9796118,8500,Flanders,West Flanders,APARTMENT,249000.0,1.0,50.0,,0.0,0,1.0,3.0,,,,4.0,0.0,2.0,4980.0
9758233,1020,Brussels,Brussels,APARTMENT,229000.0,3.0,100.0,1.0,0.0,0,1.0,10.0,,,,4.0,0.0,2.0,2290.0
10062988,2018,Flanders,Antwerp,APARTMENT,349500.0,1.0,95.0,2.0,1.0,0,1.0,15.0,,,,2.0,0.0,2.0,3678.9473684210525
10075341,1370,Wallonia,Walloon Brabant,HOUSE,440000.0,4.0,167.0,1.0,,0,1.0,30.0,1.0,,771.0,4.0,,,2634.7305389221556
10003690,7500,Wallonia,Hainaut,HOUSE,280000.0,2.0,270.0,1.0,0.0,0,1.0,5.0,1.0,5.0,5.0,2.0,0.0,2.0,1037.037037037037
10103527,5030,Wallonia,Namur,APARTMENT,240000.0,1.0,67.0,,,0,1.0,18.0,1.0,60.0,,2.0,,,3582.089552238806
10127791,9052,Flanders,East Flanders,APARTMENT,295000.0,1.0,76.0,,,0,1.0,25.0,,,,,0.0,,3881.5789473684213
9997000,3920,Flanders,Limburg,HOUSE,498000.0,3.0,280.0,1.0,0.0,0,,,1.0,,1500.0,4.0,0.0,2.0,1778.5714285714287
9989349,1000,Brussels,Brussels,APARTMENT,390000.0,2.0,85.0,2.0,,0,,,,,,3.0,,,4588.235294117647
10135740,9090,Flanders,East Flanders,HOUSE,675000.0,4.0,177.0,1.0,,1,,,1.0,,910.0,,0.0,3.0,3813.5593220338983
9271485,2900,Flanders,Antwerp,HOUSE,1150000.0,2.0,236.0,,0.0,0,,,1.0,,9900.0,,0.0,,4872.881355932203
9909327,8300,Flanders,West Flanders,APARTMENT,675000.0,2.0,70.0,,,0,,,,,,,0.0,2.0,9642.857142857143
10039940,1410,Wallonia,Walloon Brabant,HOUSE,785000.0,3.0,200.0,2.5,0.0,0,1.0,60.0,1.0,1385.0,1246.0,4.0,0.0,3.0,3925.0
9954060,4100,Wallonia,Liège,HOUSE,154900.0,5.0,240.0,1.0,,0,1.0,32.0,,,174.0,3.0,,1.5,645.4166666666666
10130128,2220,Flanders,Antwerp,HOUSE,349000.0,3.0,160.0,,,0,,,1.0,,1300.0,,0.0,1.5,2181.25
9266773,2890,Flanders,Antwerp,APARTMENT,237000.0,1.0,67.0,2.0,,0,1.0,25.0,,,,2.0,,3.0,3537.313432835821
9829912,9620,Flanders,East Flanders,HOUSE,349000.0,3.0,200.0,1.0,0.0,0,1.0,50.0,1.0,3500.0,3791.0,3.0,0.0,2.0,1745.0
10140687,4020,Wallonia,Liège,HOUSE,195000.0,3.0,100.0,0.0,,0,1.0,,,,150.0,2.0,,2.0,1950.0
10142067,8800,Flanders,West Flanders,HOUSE,495000.0,4.0,220.0,,,0,,,,,713.0,,,3.0,2250.0
10091388,1083,Brussels,Brussels,APARTMENT,275000.0,2.0,75.0,1.0,0.0,0,,,1.0,60.0,,2.0,,2.0,3666.6666666666665
10145162,4860,Wallonia,Liège,HOUSE,335000.0,3.0,120.0,,,0,1.0,,,,1271.0,4.0,,,2791.6666666666665
10018614,6110,Wallonia,Hainaut,HOUSE,195000.0,3.0,135.0,1.0,0.0,0,1.0,40.0,1.0,1000.0,1146.0,3.0,0.0,1.5,1444.4444444444443
10097129,5541,Wallonia,Namur,HOUSE,79000.0,2.0,48.0,1.0,1.0,0,1.0,10.0,,,42.0,3.0,0.0,2.0,1645.8333333333333
10098512,5651,Wallonia,Namur,HOUSE,395000.0,4.0,200.0,,,0,,,,,0.0,4.0,0.0,3.0,1975.0
9532189,4032,Wallonia,Liège,HOUSE,199000.0,3.0,277.0,,0.0,0,,,,,120.0,2.0,0.0,1.0,718.4115523465704
10043769,1930,Flanders,Flemish Brabant,HOUSE,297000.0,2.0,119.0,1.5,0.0,0,1.0,15.0,,,79.0,3.0,,2.0,2495.798319327731
10004565,7090,Wallonia,Hainaut,APARTMENT,240900.0,2.0,93.0,0.0,0.0,0,1.0,35.0,,,,,,,2590.3225806451615
7618165,8930,Flanders,West Flanders,APARTMENT,289500.0,1.0,100.0,,0.0,0,1.0,70.0,,,,2.0,0.0,3.0,2895.0
10103551,2018,Flanders,Antwerp,APARTMENT,499000.0,2.0,132.0,,,0,1.0,27.0,1.0,102.0,,2.0,,3.0,3780.3030303030305
10034445,2220,Flanders,Antwerp,HOUSE,445000.0,4.0,190.0,,0.0,0,1.0,,,,276.0,2.0,,3.0,2342.1052631578946
9625974,9880,Flanders,East Flanders,APARTMENT,455000.0,2.0,160.0,2.0,,0,1.0,12.0,,,,2.0,0.0,3.0,2843.75
9372118,3700,Flanders,Limburg,HOUSE,219000.0,3.0,206.0,1.0,,0,1.0,26.0,,,182.0,2.0,,,1063.106796116505
10146517,9041,Flanders,East Flanders,HOUSE,350000.0,4.0,162.0,1.0,0.0,0,,,1.0,180.0,230.0,,0.0,3.0,2160.4938271604938
10067303,1740,Flanders,Flemish Brabant,APARTMENT,245000.0,2.0,79.0,1.0,,0,1.0,7.0,,,,,0.0,2.0,3101.26582278481
10105959,3600,Flanders,Limburg,HOUSE,589000.0,5.0,263.0,1.0,,0,,,,,897.0,,0.0,,2239.5437262357414
10148040,6183,Wallonia,Hainaut,HOUSE,280000.0,4.0,135.0,,,0,1.0,,1.0,290.0,504.0,3.0,,,2074.074074074074
10130113,3600,Flanders,Limburg,HOUSE,289000.0,3.0,168.0,,,0,,,,,356.0,,0.0,,1720.2380952380952
9835781,4181,Wallonia,Liège,HOUSE,205000.0,3.0,140.0,,0.0,0,,,,,526.0,2.0,0.0,1.5,1464.2857142857142
10046441,2600,Flanders,Antwerp,APARTMENT,234000.0,1.0,85.0,2.0,,0,1.0,15.0,,,,,0.0,3.0,2752.9411764705883
10149226,8340,Flanders,West Flanders,APARTMENT,268000.0,3.0,144.0,1.0,0.0,0,1.0,25.0,1.0,80.0,,3.0,,2.0,1861.111111111111
10055598,8340,Flanders,West Flanders,APARTMENT,260000.0,2.0,76.0,,,0,1.0,,,,,,0.0,,3421.0526315789475
10135855,3001,Flanders,Flemish Brabant,APARTMENT,275000.0,1.0,56.0,1.0,0.0,0,,,,,,,0.0,3.0,4910.714285714285
9853675,6200,Wallonia,Hainaut,HOUSE,180000.0,2.0,217.0,1.0,0.0,0,,,,,72.0,2.0,,3.0,829.4930875576036
10078669,9220,Flanders,East Flanders,HOUSE,197000.0,3.0,172.0,,0.0,0,,,1.0,,180.0,3.0,0.0,1.0,1145.3488372093022
9633794,8730,Flanders,West Flanders,HOUSE,347500.0,3.0,158.0,,,0,,,,,303.0,3.0,0.0,,2199.3670886075947
10085371,2440,Flanders,Antwerp,HOUSE,169000.0,1.0,70.0,,0.0,0,,,,,310.0,,0.0,1.0,2414.285714285714
10126677,1650,Flanders,Flemish Brabant,HOUSE,295000.0,3.0,236.0,,0.0,0,1.0,,,,251.0,,0.0,,1250.0
9033431,4630,Wallonia,Liège,APARTMENT,285000.0,2.0,100.0,0.0,,0,1.0,65.0,,,,3.0,,3.0,2850.0
9781402,9060,Flanders,East Flanders,HOUSE,445000.0,3.0,280.0,1.0,0.0,0,,,1.0,,340.0,,0.0,2.0,1589.2857142857142
10022967,9080,Flanders,East Flanders,HOUSE,419000.0,3.0,130.0,1.0,,0,,,1.0,,544.0,,0.0,2.0,3223.076923076923
10139458,1081,Brussels,Brussels,APARTMENT,279000.0,2.0,125.0,1.0,0.0,0,1.0,7.0,,,,2.0,,1.0,2232.0
10119839,9473,Flanders,East Flanders,HOUSE,429000.0,4.0,175.0,1.0,0.0,1,1.0,30.0,1.0,,555.0,3.0,,,2451.4285714285716
10115709,3550,Flanders,Limburg,APARTMENT,219950.0,3.0,106.0,1.0,0.0,0,,,,,,,,,2075.0
10061464,3600,Flanders,Limburg,HOUSE,325000.0,3.0,210.0,1.0,,0,1.0,,,,1223.0,4.0,,2.0,1547.6190476190477
10114547,3200,Flanders,Flemish Brabant,HOUSE,875000.0,5.0,305.0,1.0,0.0,0,,,,,425.0,2.0,0.0,3.0,2868.8524590163934
